,file-name,full-html,GD-link-status,GD-link-status
Assis-Bread_Molding_Field_Notes,Assis-Bread_Molding_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Assis-Bread_Molding_Field_Notes/Assis-Bread_Molding_Field_Notes.html,GD link to evelyn breadmold pdf,"DONE: link bread translation, to be converted and added to repo"
Assis-Damascening_Field_Notes_FA18,Assis-Damascening_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Assis-Damascening_Field_Notes_FA18/Assis-Damascening_Field_Notes_FA18.html,DONE no change needed,
Assis-For_Making_Aquafortis_Field_Notes_FA18,Assis-For_Making_Aquafortis_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Assis-For_Making_Aquafortis_Field_Notes_FA18/Assis-For_Making_Aquafortis_Field_Notes_FA18.html,DONE no change needed,"seems exactly the same as ""Assis-For_Making_Aquafortis_Reconstruction_and_Test_Field_Notes_FA18.html"""
Assis-For_Making_Aquafortis_Reconstruction_and_Test_Field_Notes_FA18,Assis-For_Making_Aquafortis_Reconstruction_and_Test_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Assis-For_Making_Aquafortis_Reconstruction_and_Test_Field_Notes_FA18/Assis-For_Making_Aquafortis_Reconstruction_and_Test_Field_Notes_FA18.html,DONE no change needed,"seems exactly the same as ""Assis-For_Making_Aquafortis_Field_Notes_FA18.html"""
Assis-Printing_Field_Notes_FA18,Assis-Printing_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Assis-Printing_Field_Notes_FA18/Assis-Printing_Field_Notes_FA18.html,DONE no change needed,
Bergen-Annotation_Workflow_FA18,Bergen-Annotation_Workflow_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bergen-Annotation_Workflow_FA18/Bergen-Annotation_Workflow_FA18.html,DONE,formatting of table at the end of doc is off. Still readable/usable
Bergen-Bread_Molding_Field_Notes_FA18,Bergen-Bread_Molding_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bergen-Bread_Molding_Field_Notes_FA18/Bergen-Bread_Molding_Field_Notes_FA18.html,DONE no change needed,
Bergen-Printing_Field_Notes_FA18,Bergen-Printing_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bergen-Printing_Field_Notes_FA18/Bergen-Printing_Field_Notes_FA18.html,DONE no change needed,
Bergen-Verdigris_Field_Notes_FA18,Bergen-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bergen-Verdigris_Field_Notes_FA18/Bergen-Verdigris_Field_Notes_FA18.html,DONE no change needed,
Bertozzi-19v_Writing_as_well_from_the_left_Field_Notes,Bertozzi-19v_Writing_as_well_from_the_left_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bertozzi-19v_Writing_as_well_from_the_left_Field_Notes/Bertozzi-19v_Writing_as_well_from_the_left_Field_Notes.html,"DONE - removed one link to GD ink instructions, and added line about source of info",
Bertozzi-42v_1_Pounced_Design_for_Scratched_Satin_Field_Notes,Bertozzi-42v_1_Pounced_Design_for_Scratched_Satin_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bertozzi-42v_1_Pounced_Design_for_Scratched_Satin_Field_Notes/Bertozzi-42v_1_Pounced_Design_for_Scratched_Satin_Field_Notes.html,DONE no change needed,
Bertozzi-Bread_Mold_Making_Field_Notes_FA18,Bertozzi-Bread_Mold_Making_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bertozzi-Bread_Mold_Making_Field_Notes_FA18/Bertozzi-Bread_Mold_Making_Field_Notes_FA18.html,DONE,
Bertozzi-Making_Counterproofs_Field_Notes,Bertozzi-Making_Counterproofs_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bertozzi-Making_Counterproofs_Field_Notes/Bertozzi-Making_Counterproofs_Field_Notes.html,DONE,
"Bertozzi-Printmaking-Linocut,_Etching,_Engraving,_Woodcut-Field_Notes_FA18","Bertozzi-Printmaking-Linocut,_Etching,_Engraving,_Woodcut-Field_Notes_FA18.html","http://fieldnotes.makingandknowing.org/2018-Fall/Bertozzi-Printmaking-Linocut,_Etching,_Engraving,_Woodcut-Field_Notes_FA18/Bertozzi-Printmaking-Linocut,_Etching,_Engraving,_Woodcut-Field_Notes_FA18.html",DONE,no links
Bertozzi-Verdigris_Field_Notes_FA18,Bertozzi-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bertozzi-Verdigris_Field_Notes_FA18/Bertozzi-Verdigris_Field_Notes_FA18.html,DONE,no links
2018-Fall/Bertozzi-Annotation-Plans-FA18/NicolleBertozziSafetyProtocol_Counterproofing.html,NicolleBertozziSafetyProtocol_Counterproofing.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bertozzi-Annotation-Plans-FA18/NicolleBertozziSafetyProtocol_Counterproofing.html,added and DONE,
2018-Fall/Bertozzi-Annotation-Plans-FA18/Bertozzi_Annotation_Plans_FA18.html,Bertozzi-Annotation-Plans-FA18/Bertozzi_Annotation_Plans_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bertozzi-Annotation-Plans-FA18/Bertozzi_Annotation_Plans_FA18.html,added and DONE,
Bostock-Annotation_Process_Field_Notes_FA18,Bostock-Annotation_Process_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bostock-Annotation_Process_Field_Notes_FA18/Bostock-Annotation_Process_Field_Notes_FA18.html,"link needed for safety protocol, waiting for issue to be fixed with protocol link",
Bostock-Bread_Molding_Field_Notes_FA18,Bostock-Bread_Molding_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bostock-Bread_Molding_Field_Notes_FA18/Bostock-Bread_Molding_Field_Notes_FA18.html,,
Bostock-Printing_Techniques_Field_Notes_FA18,Bostock-Printing_Techniques_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bostock-Printing_Techniques_Field_Notes_FA18/Bostock-Printing_Techniques_Field_Notes_FA18.html,,
Bostock-Tablet_Reconstruction_Field_Notes_FA18,Bostock-Tablet_Reconstruction_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bostock-Tablet_Reconstruction_Field_Notes_FA18/Bostock-Tablet_Reconstruction_Field_Notes_FA18.html,,
Bostock-Verdigris_Field_Notes_FA18,Bostock-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bostock-Verdigris_Field_Notes_FA18/Bostock-Verdigris_Field_Notes_FA18.html,,
Bostock_Safety_Protocol_FA18/SaharBostockSafetyProtocolFA18.html,Bostock_Safety_Protocol_FA18/SaharBostockSafetyProtocolFA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Bostock_Safety_Protocol_FA18/SaharBostockSafetyProtocolFA18.html,,
Branscum-Breadmolding_Field_Notes_FA18,Branscum-Breadmolding_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Branscum-Breadmolding_Field_Notes_FA18/Branscum-Breadmolding_Field_Notes_FA18.html,,
Branscum-Engraving_Field_Notes_FA18,Branscum-Engraving_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Branscum-Engraving_Field_Notes_FA18/Branscum-Engraving_Field_Notes_FA18.html,,
Branscum-Etching_Field_Notes_FA18,Branscum-Etching_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Branscum-Etching_Field_Notes_FA18/Branscum-Etching_Field_Notes_FA18.html,,
Branscum-Linocut_Field_Notes_FA18,Branscum-Linocut_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Branscum-Linocut_Field_Notes_FA18/Branscum-Linocut_Field_Notes_FA18.html,,
Branscum-Verdigris_Field_Notes_FA18,Branscum-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Branscum-Verdigris_Field_Notes_FA18/Branscum-Verdigris_Field_Notes_FA18.html,,
Buckley-Annotation_Field_Notes_FA18,Buckley-Annotation_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Buckley-Annotation_Field_Notes_FA18/Buckley-Annotation_Field_Notes_FA18.html,,
Buckley-Bread_Molding_Reconstruction_Field_Notes_FA18,Buckley-Bread_Molding_Reconstruction_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Buckley-Bread_Molding_Reconstruction_Field_Notes_FA18/Buckley-Bread_Molding_Reconstruction_Field_Notes_FA18.html,,
Buckley-Printmaking_Field_Notes_FA18,Buckley-Printmaking_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Buckley-Printmaking_Field_Notes_FA18/Buckley-Printmaking_Field_Notes_FA18.html,,
Buckley-Verdigris_Home_Experiment_Field_Notes_FA18,Buckley-Verdigris_Home_Experiment_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Buckley-Verdigris_Home_Experiment_Field_Notes_FA18/Buckley-Verdigris_Home_Experiment_Field_Notes_FA18.html,,
Camps_Annotation_Field_Notes_Black_Varnish_for_Sword_Guard,Camps_Annotation_Field_Notes_Black_Varnish_for_Sword_Guard.html,http://fieldnotes.makingandknowing.org/2018-Fall/Camps_Annotation_Field_Notes_Black_Varnish_for_Sword_Guard/Camps_Annotation_Field_Notes_Black_Varnish_for_Sword_Guard.html,,
Camps_Annotation_Field_Notes_Metalworking_and_Armor_making,Camps_Annotation_Field_Notes_Metalworking_and_Armor_making.html,http://fieldnotes.makingandknowing.org/2018-Fall/Camps_Annotation_Field_Notes_Metalworking_and_Armor_making/Camps_Annotation_Field_Notes_Metalworking_and_Armor_making.html,,
Camps-Breadmolding_Field_Notes_FA18,Camps-Breadmolding_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Camps-Breadmolding_Field_Notes_FA18/Camps-Breadmolding_Field_Notes_FA18.html,,
Camps-Engraving_Field_Notes_FA18,Camps-Engraving_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Camps-Engraving_Field_Notes_FA18/Camps-Engraving_Field_Notes_FA18.html,,
Camps-Etching_Field_Notes_FA18,Camps-Etching_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Camps-Etching_Field_Notes_FA18/Camps-Etching_Field_Notes_FA18.html,,
Camps-Linocut_Field_Notes_FA18,Camps-Linocut_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Camps-Linocut_Field_Notes_FA18/Camps-Linocut_Field_Notes_FA18.html,,
Camps-Verdigris_Field_Notes_FA18,Camps-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Camps-Verdigris_Field_Notes_FA18/Camps-Verdigris_Field_Notes_FA18.html,,
Faulkner-Bread_Molding_Field_Notes_FA18,Faulkner-Bread_Molding_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Faulkner-Bread_Molding_Field_Notes_FA18/Faulkner-Bread_Molding_Field_Notes_FA18.html,,
Faulkner-Engraving_Field_Notes_FA18,Faulkner-Engraving_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Faulkner-Engraving_Field_Notes_FA18/Faulkner-Engraving_Field_Notes_FA18.html,,
Faulkner-Etching_Field_Notes_FA18,Faulkner-Etching_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Faulkner-Etching_Field_Notes_FA18/Faulkner-Etching_Field_Notes_FA18.html,,
Faulkner-Linocut_Field_Notes_FA18,Faulkner-Linocut_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Faulkner-Linocut_Field_Notes_FA18/Faulkner-Linocut_Field_Notes_FA18.html,,
Faulkner-Verdigris_Field_Notes_FA18,Faulkner-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Faulkner-Verdigris_Field_Notes_FA18/Faulkner-Verdigris_Field_Notes_FA18.html,,
Faulkner-Woodcut_Field_Notes_FA18,Faulkner-Woodcut_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Faulkner-Woodcut_Field_Notes_FA18/Faulkner-Woodcut_Field_Notes_FA18.html,,
Field-notes_ann_052_fa_16_Donefer-Hickie_ForCagesAndGlass_Appendix1,,http://fieldnotes.makingandknowing.org/pre-2018-Fall/Fieldnotes_ann_052_fa_16_DoneferHickie_ForCag.html,,
Field-notes-ann_051_fa_16_Lores-ChavesKang_BlackSulfuredWax_Appendix-1-Wax-in-Ms-Fr-640,,http://fieldnotes.makingandknowing.org/pre-2018-Fall/Fieldnotesann_051_fa_16_LoresChavesKang_Black.html,,
Flickr_Uploading_images_creating_albums,Flickr_Uploading_images_creating_albums.html,http://fieldnotes.makingandknowing.org/2018-Fall/Flickr_Uploading_images_creating_albums/Flickr_Uploading_images_creating_albums.html,,
Gokturk-Annotation_Field_Notes_FA18,(updated 2020-03-13 to reflect edits to original doc made after original pull to html),fieldnotes.makingandknowing.org/2018-Fall/Gokturk-Annotation_Field_Notes_FA18/GokturkAnnotationFieldNotes.html,,
Gokturk-Annotation_Plans-FA18,Gokturk-Annotation_Plans-FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Gokturk-Annotation_Plans-FA18/Gokturk-Annotation_Plans-FA18.html,,
Gokturk-Bread_Molding_Field_Notes_FA18,Gokturk-Bread_Molding_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Gokturk-Bread_Molding_Field_Notes_FA18/Gokturk-Bread_Molding_Field_Notes_FA18.html,,
Gokturk-Printmaking_Field_Notes_FA18,Gokturk-Printmaking_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Gokturk-Printmaking_Field_Notes_FA18/Gokturk-Printmaking_Field_Notes_FA18.html,,
Gokturk-Verdigris_Field_Notes_FA18,Gokturk-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Gokturk-Verdigris_Field_Notes_FA18/Gokturk-Verdigris_Field_Notes_FA18.html,,
Jiang-Bread_Molding_Field_Notes_FA18,Jiang-Bread_Molding_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Bread_Molding_Field_Notes_FA18/Jiang-Bread_Molding_Field_Notes_FA18.html,,
Jiang-Engraving_Field_Notes_FA18,Jiang-Engraving_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Engraving_Field_Notes_FA18/Jiang-Engraving_Field_Notes_FA18.html,,
Jiang-Etching_Field_Notes_FA18,Jiang-Etching_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Etching_Field_Notes_FA18/Jiang-Etching_Field_Notes_FA18.html,,
Jiang-Linocut_Field_Notes_FA18,Jiang-Linocut_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Linocut_Field_Notes_FA18/Jiang-Linocut_Field_Notes_FA18.html,,
Jiang-Polishing_and_Engraving_Stones_Field_Notes_Fall_2018,Jiang-Polishing_and_Engraving_Stones_Field_Notes_Fall_2018.html,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Polishing_and_Engraving_Stones_Field_Notes_Fall_2018/Jiang-Polishing_and_Engraving_Stones_Field_Notes_Fall_2018.html,,
Jiang-Verdigris_Field_Notes_FA18,Jiang-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Verdigris_Field_Notes_FA18/Jiang-Verdigris_Field_Notes_FA18.html,,
JiangStones_AnnotationFieldNotesFA18_gemstone,,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Stones_Annotation-Field-Notes-FA18/JiangStones_AnnotationFieldNotesFA18_gemstone.html,,
JiangStones_AnnotationFieldNotesFA18_material,,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Stones_Annotation-Field-Notes-FA18/JiangStones_AnnotationFieldNotesFA18_material.html,,
JiangStones_AnnotationFieldNotesFA18_matrix,,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Stones_Annotation-Field-Notes-FA18/JiangStones_AnnotationFieldNotesFA18_matrix.html,,
JiangStones_AnnotationFieldNotesFA18_referenc,,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Stones_Annotation-Field-Notes-FA18/JiangStones_AnnotationFieldNotesFA18_referenc.html,,
JiangStones_AnnotationFieldNotesFA18_toolssup,,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Stones_Annotation-Field-Notes-FA18/JiangStones_AnnotationFieldNotesFA18_toolssup.html,,
JiangStones_AnnotationFieldNotesFA18_TOTAL,,http://fieldnotes.makingandknowing.org/2018-Fall/Jiang-Stones_Annotation-Field-Notes-FA18/JiangStones_AnnotationFieldNotesFA18_TOTAL.html,,
Li-Verdigris_Field_Notes_FA18,Li-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Li-Verdigris_Field_Notes_FA18/Li-Verdigris_Field_Notes_FA18.html,,
Lim-Annotation_Field_Notes_FA18-Breadmolding-,Lim-Annotation_Field_Notes_FA18-Breadmolding-.html,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Annotation_Field_Notes_FA18-Breadmolding-/Lim-Annotation_Field_Notes_FA18-Breadmolding-.html,DONE,11/22/19
Lim-Annotation_Plans_FA18-Bread_molding-,Lim-Annotation_Plans_FA18-Bread_molding-.html,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Annotation_Plans_FA18-Bread_molding-/Lim-Annotation_Plans_FA18-Bread_molding-.html,DONE,11/22/19
Lim-Bread_Molding_Field_Notes,Lim-Bread_Molding_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Bread_Molding_Field_Notes/Lim-Bread_Molding_Field_Notes.html,DONE,11/22/19
Lim-Etching_Engraving_Field_Notes,Lim-Etching_Engraving_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Etching_Engraving_Field_Notes/Lim-Etching_Engraving_Field_Notes.html,DONE,11/22/19
Lim-Linocut_Field_Notes,Lim-Linocut_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Linocut_Field_Notes/Lim-Linocut_Field_Notes.html,DONE,11/22/19
Lim-Verdigris_Field_Notes_FA18,Lim-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Verdigris_Field_Notes_FA18/Lim-Verdigris_Field_Notes_FA18.html,DONE,11/22/19
Lim-Woodblock_Printing_Field_Notes,Lim-Woodblock_Printing_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Woodblock_Printing_Field_Notes/Lim-Woodblock_Printing_Field_Notes.html,DONE,11/22/19
Olson-Annotation_Field_Notes_FA18-f,Olson-Annotation_Field_Notes_FA18-f._42r_Wax_for_Seal_and_Imprint.html,http://fieldnotes.makingandknowing.org/2018-Fall/Olson-AnnotationFieldNotes-FA18-f.42r-WaxforSealandImprint/OlsonAnnotationFieldNotesFA18f.42rWaxforSeala.html,,
Olson-Bread_Molding_Reconstruction_Field_Notes_FA18,Olson-Bread_Molding_Reconstruction_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Olson-Bread_Molding_Reconstruction_Field_Notes_FA18/Olson-Bread_Molding_Reconstruction_Field_Notes_FA18.html,,
Olson-Printmaking_Techniques_Field_Notes,Olson-Printmaking_Techniques_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Olson-Printmaking_Techniques_Field_Notes/Olson-Printmaking_Techniques_Field_Notes.html,,
Olson-Verdigris_Field_Notes_FA18,Olson-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Olson-Verdigris_Field_Notes_FA18/Olson-Verdigris_Field_Notes_FA18.html,,
Rosenkranz-Verdigris_EXAMPLE_Field_Notes_FA18,Rosenkranz-Verdigris_EXAMPLE_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Rosenkranz-Verdigris_EXAMPLE_Field_Notes_FA18/Rosenkranz-Verdigris_EXAMPLE_Field_Notes_FA18.html,,
Lim-Annotation_Field_Notes_FA18-Breadmolding-,LimAnnotation_Plans_FA18experimentstoconduct,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Annotation_Field_Notes_FA18-Breadmolding-/LimAnnotation_Plans_FA18experimentstoconduct.html,added and DONE,11/22/19
Min-Lim-Safety-Protocol-FA18,MinLimSafetyProtocol,http://fieldnotes.makingandknowing.org/2018-Fall/Min-Lim-Safety-Protocol-FA18/MinLimSafetyProtocol.html,added and DONE,11/22/19
Assis-Bread_Molding_Field_Notes,Fieldnotes-FA18-UllmanJohnEvelynBreadRecipesTranscription,http://fieldnotes.makingandknowing.org/2018-Fall/Assis-Bread_Molding_Field_Notes/Fieldnotes-FA18-UllmanJohnEvelynBreadRecipesTranscription.html,added and DONE,11/22/19
FA16-Lores-ChavezKang_ImitatingRawNature_AppendixI-MsFr640-Imitation-Terms,FA16-Lores-ChavezKang_ImitatingRawNature_AppendixI-MsFr640-Imitation-Terms,http://fieldnotes.makingandknowing.org/pre-2018-Fall/FA16LoresChavezKang_ImitatingRawNature_Append.html,DONE,11/22/19
Elizondo_Stucco-Field-Notes-SP19,Elizondo_Stucco-Field-Notes-SP19,http://fieldnotes.makingandknowing.org/pre-2018-Fall/Elizondo_Stucco-Field-Notes-SP19/Elizondo_StuccoFieldNotesSP19.html,,
FA18_FieldNotes_BergenTextComparisonTableFull,FA18_FieldNotes_BergenTextComparisonTableFull,http://fieldnotes.makingandknowing.org/2018-Fall/Bergen-Annotation_Workflow_FA18/FA18_FieldNotes_BergenTextComparisonTableFull.html,,
See gd doc https://docs.google.com/document/d/1KMV5sV-cxYuTlcalNGF5hBnM4Nho52_0_EREBARK8bk/edit?usp=sharing,SP18_UchaczRosenkranz_varnishesintherain,http://fieldnotes.makingandknowing.org/2018-Fall/SP18-uchaczRosenkranz-varnishes/SP18_UchaczRosenkranz_varnishesintherain_fiel.html,,
See gd doc https://docs.google.com/document/d/1mVJCEhvm_orkvu19K2DHGAQ1Z64fbaKTAw5KQXeQqGg/edit?usp=sharing,RISD-MKRubyMakingCollaborativeFieldNotes2016-11-01to2016-11-03,http://fieldnotes.makingandknowing.org/pre-2018-Fall/RISD-MKRubyMakingCollaborativeFieldNotes2016-11-01to2016-11-03/RISDMKRubyMakingCollaborativeFieldNotes201611.html,,
See gd doc https://docs.google.com/document/d/1LXKvMV1f19DybuJe0TBAB7rD8fGf-BpPofrdbQ95BsA/edit?usp=sharing,SP15_PopeandMarrisFieldNotespowderforhourglasses,http://fieldnotes.makingandknowing.org/pre-2018-Fall/SP15_PopeandMarrisFieldNotespowderforhourglasses.html,,
See gd doc https://docs.google.com/document/d/17RyHHUfYENmrZ0QkMpiM_NZyZUvV3civ2y6cz-dquhs/edit?usp=sharing,SP15_MarrisandPopeFieldNotesVarnishforLutes,http://fieldnotes.makingandknowing.org/pre-2018-Fall/SP15_MarrisandPopeFieldNotesVarnishforLutes.html,,
,GNS_FieldNotesSP16-ExperimentalProtocols.html,http://fieldnotes.makingandknowing.org/pre-2018-Fall/GNS_FieldNotesSP16-ExperimentalProtocols.html,,